"Decimal","Hexadecimal","Company" # Downloaded from https://www.bluetooth.com/specifications/assigned-numbers/company-identifiers/
"678","0x02A6","Robert Bosch GmbH"
"679","0x02A7","Illuxtron international B.V."
"680","0x02A8","miSport Ltd."
"681","0x02A9","Chargelib"
"682","0x02AA","Doppler Lab"
"683","0x02AB","BBPOS Limited"
"684","0x02AC","RTB Elektronik GmbH & Co. KG"
"685","0x02AD","Rx Networks, Inc."
"686","0x02AE","WeatherFlow, Inc."
"687","0x02AF","Technicolor USA Inc."
"688","0x02B0","Bestechnic(Shanghai),Ltd"
"689","0x02B1","Raden Inc"
"690","0x02B2","JouZen Oy"
"691","0x02B3","CLABER S.P.A."
"692","0x02B4","Hyginex, Inc."
"693","0x02B5","HANSHIN ELECTRIC RAILWAY CO.,LTD."
"694","0x02B6","Schneider Electric"
"695","0x02B7","Oort Technologies LLC"
"696","0x02B8","Chrono Therapeutics"
"697","0x02B9","Rinnai Corporation"
"698","0x02BA","Swissprime Technologies AG"
"699","0x02BB","Koha.,Co.Ltd"
"700","0x02BC","Genevac Ltd"
"701","0x02BD","Chemtronics"
"702","0x02BE","Seguro Technology Sp. z o.o."
"703","0x02BF","Redbird Flight Simulations"
"704","0x02C0","Dash Robotics"
"705","0x02C1","LINE Corporation"
"706","0x02C2","Guillemot Corporation"
"707","0x02C3","Techtronic Power Tools Technology Limited"
"708","0x02C4","Wilson Sporting Goods"
"709","0x02C5","Lenovo (Singapore) Pte Ltd. ( 联想（新加坡） )"
"710","0x02C6","Ayatan Sensors"
"711","0x02C7","Electronics Tomorrow Limited"
"712","0x02C8","OneSpan "
"713","0x02C9","PayRange Inc."
"714","0x02CA","ABOV Semiconductor"
"715","0x02CB","AINA-Wireless Inc."
"716","0x02CC","Eijkelkamp Soil & Water"
"717","0x02CD","BMA ergonomics b.v."
"718","0x02CE","Teva Branded Pharmaceutical Products R&D, Inc."
"719","0x02CF","Anima"
"720","0x02D0","3M"
"721","0x02D1","Empatica Srl"
"722","0x02D2","Afero, Inc."
"723","0x02D3","Powercast Corporation"
"724","0x02D4","Secuyou ApS"
"725","0x02D5","OMRON Corporation"
"726","0x02D6","Send Solutions"
"727","0x02D7","NIPPON SYSTEMWARE CO.,LTD."
"728","0x02D8","Neosfar"
"729","0x02D9","Fliegl Agrartechnik GmbH"
"730","0x02DA","Gilvader"
"731","0x02DB","Digi International Inc (R)"
"732","0x02DC","DeWalch Technologies, Inc."
"733","0x02DD","Flint Rehabilitation Devices, LLC"
"734","0x02DE","Samsung SDS Co., Ltd."
"735","0x02DF","Blur Product Development"
"736","0x02E0","University of Michigan"
"737","0x02E1","Victron Energy BV"
"738","0x02E2","NTT docomo"
"739","0x02E3","Carmanah Technologies Corp."
"740","0x02E4","Bytestorm Ltd."
"741","0x02E5","Espressif Incorporated ( 乐鑫信息科技(上海)有限公司 )"
"742","0x02E6","Unwire"
"743","0x02E7","Connected Yard, Inc."
"744","0x02E8","American Music Environments"
"745","0x02E9","Sensogram Technologies, Inc."
"746","0x02EA","Fujitsu Limited"
"747","0x02EB","Ardic Technology"
"748","0x02EC","Delta Systems, Inc"
"749","0x02ED","HTC Corporation "
"750","0x02EE","Citizen Holdings Co., Ltd. "
"751","0x02EF","SMART-INNOVATION.inc"
"752","0x02F0","Blackrat Software "
"753","0x02F1","The Idea Cave, LLC"
"754","0x02F2","GoPro, Inc."
"755","0x02F3","AuthAir, Inc"
"756","0x02F4","Vensi, Inc."
"757","0x02F5","Indagem Tech LLC"
"758","0x02F6","Intemo Technologies"
"759","0x02F7","DreamVisions co., Ltd."
"760","0x02F8","Runteq Oy Ltd"
"761","0x02F9","IMAGINATION TECHNOLOGIES LTD "
"762","0x02FA","CoSTAR TEchnologies"
"763","0x02FB","Clarius Mobile Health Corp."
"764","0x02FC","Shanghai Frequen Microelectronics Co., Ltd."
"765","0x02FD","Uwanna, Inc."
"766","0x02FE","Lierda Science & Technology Group Co., Ltd."
"767","0x02FF","Silicon Laboratories"
"768","0x0300","World Moto Inc."
"769","0x0301","Giatec Scientific Inc."
"770","0x0302","Loop Devices, Inc"
"771","0x0303","IACA electronique"
"772","0x0304","Proxy Technologies, Inc."
"773","0x0305","Swipp ApS"
"774","0x0306","Life Laboratory Inc. "
"775","0x0307","FUJI INDUSTRIAL CO.,LTD."
"776","0x0308","Surefire, LLC"
"777","0x0309","Dolby Labs"
"778","0x030A","Ellisys"
"779","0x030B","Magnitude Lighting Converters"
"780","0x030C","Hilti AG"
"781","0x030D","Devdata S.r.l."
"782","0x030E","Deviceworx"
"783","0x030F","Shortcut Labs"
"784","0x0310","SGL Italia S.r.l."
"785","0x0311","PEEQ DATA"
"786","0x0312","Ducere Technologies Pvt Ltd "
"787","0x0313","DiveNav, Inc. "
"788","0x0314","RIIG AI Sp. z o.o."
"789","0x0315","Thermo Fisher Scientific "
"790","0x0316","AG Measurematics Pvt. Ltd. "
"791","0x0317","CHUO Electronics CO., LTD. "
"792","0x0318","Aspenta International "
"793","0x0319","Eugster Frismag AG "
"794","0x031A","Wurth Elektronik eiSos GmbH & Co. KG ( formerly Amber wireless GmbH) "
"795","0x031B","HQ Inc "
"796","0x031C","Lab Sensor Solutions "
"797","0x031D","Enterlab ApS "
"798","0x031E","Eyefi, Inc."
"799","0x031F","MetaSystem S.p.A. "
"800","0x0320","SONO ELECTRONICS. CO., LTD "
"801","0x0321","Jewelbots "
"802","0x0322","Compumedics Limited "
"803","0x0323","Rotor Bike Components "
"804","0x0324","Astro, Inc. "
"805","0x0325","Amotus Solutions "
"806","0x0326","Healthwear Technologies (Changzhou)Ltd "
"807","0x0327","Essex Electronics "
"808","0x0328","Grundfos A/S"
"809","0x0329","Eargo, Inc. "
"810","0x032A","Electronic Design Lab "
"811","0x032B","ESYLUX "
"812","0x032C","NIPPON SMT.CO.,Ltd"
"813","0x032D","BM innovations GmbH "
"814","0x032E","indoormap"
"815","0x032F","OttoQ Inc "
"816","0x0330","North Pole Engineering "
"817","0x0331","3flares Technologies Inc."
"818","0x0332","Electrocompaniet A.S. "
"819","0x0333","Mul-T-Lock"
"820","0x0334","Corentium AS "
"821","0x0335","Enlighted Inc"
"822","0x0336","GISTIC"
"823","0x0337","AJP2 Holdings, LLC"
"824","0x0338","COBI GmbH "
"825","0x0339","Blue Sky Scientific, LLC "
"826","0x033A","Appception, Inc."
"827","0x033B","Courtney Thorne Limited "
"828","0x033C","Virtuosys"
"829","0x033D","TPV Technology Limited "
"830","0x033E","Monitra SA"
"831","0x033F","Automation Components, Inc. "
"832","0x0340","Letsense s.r.l. "
"833","0x0341","Etesian Technologies LLC "
"834","0x0342","GERTEC BRASIL LTDA. "
"835","0x0343","Drekker Development Pty. Ltd."
"836","0x0344","Whirl Inc "
"837","0x0345","Locus Positioning "
"838","0x0346","Acuity Brands Lighting, Inc "
"839","0x0347","Prevent Biometrics "
"840","0x0348","Arioneo"
"841","0x0349","VersaMe "
"842","0x034A","Vaddio "
"843","0x034B","Libratone A/S "
"844","0x034C","HM Electronics, Inc. "
"845","0x034D","TASER International, Inc."
"846","0x034E","SafeTrust Inc. "
"847","0x034F","Heartland Payment Systems "
"848","0x0350","Bitstrata Systems Inc. "
"849","0x0351","Pieps GmbH "
"850","0x0352","iRiding(Xiamen)Technology Co.,Ltd."
"851","0x0353","Alpha Audiotronics, Inc. "
"852","0x0354","TOPPAN FORMS CO.,LTD. "
"853","0x0355","Sigma Designs, Inc. "
"854","0x0356","Spectrum Brands, Inc. "
"855","0x0357","Polymap Wireless "
"856","0x0358","MagniWare Ltd."
"857","0x0359","Novotec Medical GmbH "
"858","0x035A","Medicom Innovation Partner a/s "
"859","0x035B","Matrix Inc. "
"860","0x035C","Eaton Corporation "
"861","0x035D","KYS"
"862","0x035E","Naya Health, Inc. "
"863","0x035F","Acromag "
"864","0x0360","Insulet Corporation "
"865","0x0361","Wellinks Inc. "
"866","0x0362","ON Semiconductor"
"867","0x0363","FREELAP SA "
"868","0x0364","Favero Electronics Srl "
"869","0x0365","BioMech Sensor LLC "
"870","0x0366","BOLTT Sports technologies Private limited"
"871","0x0367","Saphe International "
"872","0x0368","Metormote AB "
"873","0x0369","littleBits "
"874","0x036A","SetPoint Medical "
"875","0x036B","BRControls Products BV "
"876","0x036C","Zipcar "
"877","0x036D","AirBolt Pty Ltd "
"878","0x036E","KeepTruckin Inc "
"879","0x036F","Motiv, Inc. "
"880","0x0370","Wazombi Labs OÜ "
"881","0x0371","ORBCOMM"
"882","0x0372","Nixie Labs, Inc."
"883","0x0373","AppNearMe Ltd"
"884","0x0374","Holman Industries"
"885","0x0375","Expain AS"
"886","0x0376","Electronic Temperature Instruments Ltd"
"887","0x0377","Plejd AB"
"888","0x0378","Propeller Health"
"889","0x0379","Shenzhen iMCO Electronic Technology Co.,Ltd"
"890","0x037A","Algoria"
"891","0x037B","Apption Labs Inc."
"892","0x037C","Cronologics Corporation"
"893","0x037D","MICRODIA Ltd."
"894","0x037E","lulabytes S.L."
"895","0x037F","Société des Produits Nestlé S.A. (formerly Nestec S.A.)"
"896","0x0380","LLC ""MEGA-F service"""
"897","0x0381","Sharp Corporation"
"898","0x0382","Precision Outcomes Ltd"
"899","0x0383","Kronos Incorporated"
"900","0x0384","OCOSMOS Co., Ltd."
"901","0x0385","Embedded Electronic Solutions Ltd. dba e2Solutions"
"902","0x0386","Aterica Inc."
"903","0x0387","BluStor PMC, Inc."
"904","0x0388","Kapsch TrafficCom AB"
"905","0x0389","ActiveBlu Corporation"
"906","0x038A","Kohler Mira Limited"
"907","0x038B","Noke"
"908","0x038C","Appion Inc."
"909","0x038D","Resmed Ltd"
"910","0x038E","Crownstone B.V."
"911","0x038F","Xiaomi Inc."
"912","0x0390","INFOTECH s.r.o."
"913","0x0391","Thingsquare AB"
"914","0x0392","T&D"
"915","0x0393","LAVAZZA S.p.A."
"916","0x0394","Netclearance Systems, Inc."
"917","0x0395","SDATAWAY"
"918","0x0396","BLOKS GmbH"
"919","0x0397","LEGO System A/S"
"920","0x0398","Thetatronics Ltd"
"921","0x0399","Nikon Corporation"
"922","0x039A","NeST"
"923","0x039B","South Silicon Valley Microelectronics"
"924","0x039C","ALE International"
"925","0x039D","CareView Communications, Inc."
"926","0x039E","SchoolBoard Limited"
"927","0x039F","Molex Corporation"
"928","0x03A0","IVT Wireless Limited"
"929","0x03A1","Alpine Labs LLC"
"930","0x03A2","Candura Instruments"
"931","0x03A3","SmartMovt Technology Co., Ltd"
"932","0x03A4","Token Zero Ltd"
"933","0x03A5","ACE CAD Enterprise Co., Ltd. (ACECAD)"
"934","0x03A6","Medela, Inc"
"935","0x03A7","AeroScout"
"936","0x03A8","Esrille Inc."
"937","0x03A9","THINKERLY SRL"
"938","0x03AA","Exon Sp. z o.o."
"939","0x03AB","Meizu Technology Co., Ltd."
"940","0x03AC","Smablo LTD"
"941","0x03AD","XiQ"
"942","0x03AE","Allswell Inc."
"943","0x03AF","Comm-N-Sense Corp DBA Verigo"
"944","0x03B0","VIBRADORM GmbH"
"945","0x03B1","Otodata Wireless Network Inc."
"946","0x03B2","Propagation Systems Limited"
"947","0x03B3","Midwest Instruments & Controls"
"948","0x03B4","Alpha Nodus, inc."
"949","0x03B5","petPOMM, Inc"
"950","0x03B6","Mattel"
"951","0x03B7","Airbly Inc."
"952","0x03B8","A-Safe Limited"
"953","0x03B9","FREDERIQUE CONSTANT SA"
"954","0x03BA","Maxscend Microelectronics Company Limited"
"955","0x03BB","Abbott"
"956","0x03BC","ASB Bank Ltd"
"957","0x03BD","amadas"
"958","0x03BE","Applied Science, Inc."
"959","0x03BF","iLumi Solutions Inc."
"960","0x03C0","Arch Systems Inc."
"961","0x03C1","Ember Technologies, Inc."
"962","0x03C2","Snapchat Inc"
"963","0x03C3","Casambi Technologies Oy"
"964","0x03C4","Pico Technology Inc."
"965","0x03C5","St. Jude Medical, Inc."
"966","0x03C6","Intricon"
"967","0x03C7","Structural Health Systems, Inc."
"968","0x03C8","Avvel International"
"969","0x03C9","Gallagher Group"
"970","0x03CA","In2things Automation Pvt. Ltd."
"971","0x03CB","SYSDEV Srl"
"972","0x03CC","Vonkil Technologies Ltd"
"973","0x03CD","Wynd Technologies, Inc."
"974","0x03CE","CONTRINEX S.A."
"975","0x03CF","MIRA, Inc."
"976","0x03D0","Watteam Ltd"
"977","0x03D1","Density Inc."
"978","0x03D2","IOT Pot India Private Limited"
"979","0x03D3","Sigma Connectivity AB"
"980","0x03D4","PEG PEREGO SPA"
"981","0x03D5","Wyzelink Systems Inc."
"982","0x03D6","Yota Devices LTD"
"983","0x03D7","FINSECUR"
"984","0x03D8","Zen-Me Labs Ltd"
"985","0x03D9","3IWare Co., Ltd."
"986","0x03DA","EnOcean GmbH"
"987","0x03DB","Instabeat, Inc"
"988","0x03DC","Nima Labs"
"989","0x03DD","Andreas Stihl AG & Co. KG"
"990","0x03DE","Nathan Rhoades LLC"
"991","0x03DF","Grob Technologies, LLC"
"992","0x03E0","Actions (Zhuhai) Technology Co., Limited"
"993","0x03E1","SPD Development Company Ltd"
"994","0x03E2","Sensoan Oy"
"995","0x03E3","Qualcomm Life Inc"
"996","0x03E4","Chip-ing AG"
"997","0x03E5","ffly4u"
"998","0x03E6","IoT Instruments Oy"
"999","0x03E7","TRUE Fitness Technology"
"1000","0x03E8","Reiner Kartengeraete GmbH & Co. KG."
"1001","0x03E9","SHENZHEN LEMONJOY TECHNOLOGY CO., LTD."
"1002","0x03EA","Hello Inc."
"1003","0x03EB","Evollve Inc."
"1004","0x03EC","Jigowatts Inc."
"1005","0x03ED","BASIC MICRO.COM,INC."
"1006","0x03EE","CUBE TECHNOLOGIES"
"1007","0x03EF","foolography GmbH"
"1008","0x03F0","CLINK"
"1009","0x03F1","Hestan Smart Cooking Inc."
"1010","0x03F2","WindowMaster A/S"
"1011","0x03F3","Flowscape AB"
"1012","0x03F4","PAL Technologies Ltd"
"1013","0x03F5","WHERE, Inc."
"1014","0x03F6","Iton Technology Corp."
"1015","0x03F7","Owl Labs Inc."
"1016","0x03F8","Rockford Corp."
"1017","0x03F9","Becon Technologies Co.,Ltd."
"1018","0x03FA","Vyassoft Technologies Inc"
"1019","0x03FB","Nox Medical"
"1020","0x03FC","Kimberly-Clark"
"1021","0x03FD","Trimble Navigation Ltd."
"1022","0x03FE","Littelfuse"
"1023","0x03FF","Withings"
"1024","0x0400","i-developer IT Beratung UG"
"1025","0x0401","Relations Inc."
"1026","0x0402","Sears Holdings Corporation"
"1027","0x0403","Gantner Electronic GmbH"
"1028","0x0404","Authomate Inc"
"1029","0x0405","Vertex International, Inc."
"1030","0x0406","Airtago"
"1031","0x0407","Swiss Audio SA"
"1032","0x0408","ToGetHome Inc."
"1033","0x0409","AXIS"
"1034","0x040A","Openmatics"
"1035","0x040B","Jana Care Inc."
"1036","0x040C","Senix Corporation"
"1037","0x040D","NorthStar Battery Company, LLC"
"1038","0x040E","SKF (U.K.) Limited"
"1039","0x040F","CO-AX Technology, Inc."
"1040","0x0410","Fender Musical Instruments"
"1041","0x0411","Luidia Inc"
"1042","0x0412","SEFAM"
"1043","0x0413","Wireless Cables Inc"
"1044","0x0414","Lightning Protection International Pty Ltd"
"1045","0x0415","Uber Technologies Inc"
"1046","0x0416","SODA GmbH"
"1047","0x0417","Fatigue Science"
"1048","0x0418","Reserved"
"1049","0x0419","Novalogy LTD"
"1050","0x041A","Friday Labs Limited"
"1051","0x041B","OrthoAccel Technologies"
"1052","0x041C","WaterGuru, Inc."
"1053","0x041D","Benning Elektrotechnik und Elektronik GmbH & Co. KG"
"1054","0x041E","Dell Computer Corporation"
"1055","0x041F","Kopin Corporation"
"1056","0x0420","TecBakery GmbH"
"1057","0x0421","Backbone Labs, Inc."
"1058","0x0422","DELSEY SA"
"1059","0x0423","Chargifi Limited"
"1060","0x0424","Trainesense Ltd."
"1061","0x0425","Unify Software and Solutions GmbH & Co. KG"
"1062","0x0426","Husqvarna AB"
"1063","0x0427","Focus fleet and fuel management inc"
"1064","0x0428","SmallLoop, LLC"
"1065","0x0429","Prolon Inc."
"1066","0x042A","BD Medical"
"1067","0x042B","iMicroMed Incorporated"
"1068","0x042C","Ticto N.V."
"1069","0x042D","Meshtech AS"
"1070","0x042E","MemCachier Inc."
"1071","0x042F","Danfoss A/S"
"1072","0x0430","SnapStyk Inc."
"1073","0x0431","Amway Corporation"
"1074","0x0432","Silk Labs, Inc."
"1075","0x0433","Pillsy Inc."
"1076","0x0434","Hatch Baby, Inc."
"1077","0x0435","Blocks Wearables Ltd."
"1078","0x0436","Drayson Technologies (Europe) Limited"
"1079","0x0437","eBest IOT Inc."
"1080","0x0438","Helvar Ltd"
"1081","0x0439","Radiance Technologies"
"1082","0x043A","Nuheara Limited"
"1083","0x043B","Appside co., ltd."
"1084","0x043C","DeLaval"
"1085","0x043D","Coiler Corporation"
"1086","0x043E","Thermomedics, Inc."
"1087","0x043F","Tentacle Sync GmbH"
"1088","0x0440","Valencell, Inc."
"1089","0x0441","iProtoXi Oy"
"1090","0x0442","SECOM CO., LTD."
"1091","0x0443","Tucker International LLC"
"1092","0x0444","Metanate Limited"
"1093","0x0445","Kobian Canada Inc."
"1094","0x0446","NETGEAR, Inc."
"1095","0x0447","Fabtronics Australia Pty Ltd"
"1096","0x0448","Grand Centrix GmbH"
"1097","0x0449","1UP USA.com llc"
"1098","0x044A","SHIMANO INC."
"1099","0x044B","Nain Inc."
"1100","0x044C","LifeStyle Lock, LLC"
"1101","0x044D","VEGA Grieshaber KG"
"1102","0x044E","Xtrava Inc."
"1103","0x044F","TTS Tooltechnic Systems AG & Co. KG"
"1104","0x0450","Teenage Engineering AB"
"1105","0x0451","Tunstall Nordic AB"
"1106","0x0452","Svep Design Center AB"
"1107","0x0453","Qorvo Utrecht B.V. formerly GreenPeak Technologies BV"
"1108","0x0454","Sphinx Electronics GmbH & Co KG"
"1109","0x0455","Atomation"
"1110","0x0456","Nemik Consulting Inc"
"1111","0x0457","RF INNOVATION"
"1112","0x0458","Mini Solution Co., Ltd."
"1113","0x0459","Lumenetix, Inc"
"1114","0x045A","2048450 Ontario Inc"
"1115","0x045B","SPACEEK LTD"
"1116","0x045C","Delta T Corporation"
"1117","0x045D","Boston Scientific Corporation"
"1118","0x045E","Nuviz, Inc."
"1119","0x045F","Real Time Automation, Inc."
"1120","0x0460","Kolibree"
"1121","0x0461","vhf elektronik GmbH"
"1122","0x0462","Bonsai Systems GmbH"
"1123","0x0463","Fathom Systems Inc."
"1124","0x0464","Bellman & Symfon"
"1125","0x0465","International Forte Group LLC"
"1126","0x0466","CycleLabs Solutions inc."
"1127","0x0467","Codenex Oy"
"1128","0x0468","Kynesim Ltd"
"1129","0x0469","Palago AB"
"1130","0x046A","INSIGMA INC."
"1131","0x046B","PMD Solutions"
"1132","0x046C","Qingdao Realtime Technology Co., Ltd."
"1133","0x046D","BEGA Gantenbrink-Leuchten KG"
"1134","0x046E","Pambor Ltd."
"1135","0x046F","Develco Products A/S"
"1136","0x0470","iDesign s.r.l."
"1137","0x0471","TiVo Corp"
"1138","0x0472","Control-J Pty Ltd"
"1139","0x0473","Steelcase, Inc."
"1140","0x0474","iApartment co., ltd."
"1141","0x0475","Icom inc."
"1142","0x0476","Oxstren Wearable Technologies Private Limited"
"1143","0x0477","Blue Spark Technologies"
"1144","0x0478","FarSite Communications Limited"
"1145","0x0479","mywerk system GmbH"
"1146","0x047A","Sinosun Technology Co., Ltd."
"1147","0x047B","MIYOSHI ELECTRONICS CORPORATION"
"1148","0x047C","POWERMAT LTD"
"1149","0x047D","Occly LLC"
"1150","0x047E","OurHub Dev IvS"
"1151","0x047F","Pro-Mark, Inc."
"1152","0x0480","Dynometrics Inc."
"1153","0x0481","Quintrax Limited"
"1154","0x0482","POS Tuning Udo Vosshenrich GmbH & Co. KG"
"1155","0x0483","Multi Care Systems B.V."
"1156","0x0484","Revol Technologies Inc"
"1157","0x0485","SKIDATA AG"
"1158","0x0486","DEV TECNOLOGIA INDUSTRIA, COMERCIO E MANUTENCAO DE EQUIPAMENTOS LTDA. - ME"
"1159","0x0487","Centrica Connected Home"
"1160","0x0488","Automotive Data Solutions Inc"
"1161","0x0489","Igarashi Engineering"
"1162","0x048A","Taelek Oy"
"1163","0x048B","CP Electronics Limited"
"1164","0x048C","Vectronix AG"
"1165","0x048D","S-Labs Sp. z o.o."
"1166","0x048E","Companion Medical, Inc."
"1167","0x048F","BlueKitchen GmbH"
"1168","0x0490","Matting AB"
"1169","0x0491","SOREX - Wireless Solutions GmbH"
"1170","0x0492","ADC Technology, Inc."
"1171","0x0493","Lynxemi Pte Ltd"
"1172","0x0494","SENNHEISER electronic GmbH & Co. KG"
"1173","0x0495","LMT Mercer Group, Inc"
"1174","0x0496","Polymorphic Labs LLC"
"1175","0x0497","Cochlear Limited"
"1176","0x0498","METER Group, Inc. USA"
"1177","0x0499","Ruuvi Innovations Ltd."
"1178","0x049A","Situne AS"
"1179","0x049B","nVisti, LLC"
"1180","0x049C","DyOcean"
"1181","0x049D","Uhlmann & Zacher GmbH"
"1182","0x049E","AND!XOR LLC"
"1183","0x049F","tictote AB"
"1184","0x04A0","Vypin, LLC"
"1185","0x04A1","PNI Sensor Corporation"
"1186","0x04A2","ovrEngineered, LLC"
"1187","0x04A3","GT-tronics HK Ltd"
"1188","0x04A4","Herbert Waldmann GmbH & Co. KG"
"1189","0x04A5","Guangzhou FiiO Electronics Technology Co.,Ltd"
"1190","0x04A6","Vinetech Co., Ltd"
"1191","0x04A7","Dallas Logic Corporation"
"1192","0x04A8","BioTex, Inc."
"1193","0x04A9","DISCOVERY SOUND TECHNOLOGY, LLC"
"1194","0x04AA","LINKIO SAS"
"1195","0x04AB","Harbortronics, Inc."
"1196","0x04AC","Undagrid B.V."
"1197","0x04AD","Shure Inc"
"1198","0x04AE","ERM Electronic Systems LTD"
"1199","0x04AF","BIOROWER Handelsagentur GmbH"
"1200","0x04B0","Weba Sport und Med. Artikel GmbH"
"1201","0x04B1","Kartographers Technologies Pvt. Ltd."
"1202","0x04B2","The Shadow on the Moon"
"1203","0x04B3","mobike (Hong Kong) Limited"
"1204","0x04B4","Inuheat Group AB"
"1205","0x04B5","Swiftronix AB"
"1206","0x04B6","Diagnoptics Technologies"
"1207","0x04B7","Analog Devices, Inc."
"1208","0x04B8","Soraa Inc."
"1209","0x04B9","CSR Building Products Limited"
"1210","0x04BA","Crestron Electronics, Inc."
"1211","0x04BB","Neatebox Ltd"
"1212","0x04BC","Draegerwerk AG & Co. KGaA"
"1213","0x04BD","AlbynMedical"
"1214","0x04BE","Averos FZCO"
"1215","0x04BF","VIT Initiative, LLC"
"1216","0x04C0","Statsports International"
"1217","0x04C1","Sospitas, s.r.o."
"1218","0x04C2","Dmet Products Corp."
"1219","0x04C3","Mantracourt Electronics Limited"
"1220","0x04C4","TeAM Hutchins AB"
"1221","0x04C5","Seibert Williams Glass, LLC"
"1222","0x04C6","Insta GmbH"
"1223","0x04C7","Svantek Sp. z o.o."
"1224","0x04C8","Shanghai Flyco Electrical Appliance Co., Ltd."
"1225","0x04C9","Thornwave Labs Inc"
"1226","0x04CA","Steiner-Optik GmbH"
"1227","0x04CB","Novo Nordisk A/S"
"1228","0x04CC","Enflux Inc."
"1229","0x04CD","Safetech Products LLC"
"1230","0x04CE","GOOOLED S.R.L."
"1231","0x04CF","DOM Sicherheitstechnik GmbH & Co. KG"
"1232","0x04D0","Olympus Corporation"
"1233","0x04D1","KTS GmbH"
"1234","0x04D2","Anloq Technologies Inc."
"1235","0x04D3","Queercon, Inc"
"1236","0x04D4","5th Element Ltd"
"1237","0x04D5","Gooee Limited"
"1238","0x04D6","LUGLOC LLC"
"1239","0x04D7","Blincam, Inc."
"1240","0x04D8","FUJIFILM Corporation"
"1241","0x04D9","RandMcNally"
"1242","0x04DA","Franceschi Marina snc"
"1243","0x04DB","Engineered Audio, LLC."
"1244","0x04DC","IOTTIVE (OPC) PRIVATE LIMITED"
"1245","0x04DD","4MOD Technology"
"1246","0x04DE","Lutron Electronics Co., Inc."
"1247","0x04DF","Emerson"
"1248","0x04E0","Guardtec, Inc."
"1249","0x04E1","REACTEC LIMITED"
"1250","0x04E2","EllieGrid"
"1251","0x04E3","Under Armour"
"1252","0x04E4","Woodenshark"
"1253","0x04E5","Avack Oy"
"1254","0x04E6","Smart Solution Technology, Inc."
"1255","0x04E7","REHABTRONICS INC."
"1256","0x04E8","STABILO International"
"1257","0x04E9","Busch Jaeger Elektro GmbH"
"1258","0x04EA","Pacific Bioscience Laboratories, Inc"
"1259","0x04EB","Bird Home Automation GmbH"
"1260","0x04EC","Motorola Solutions"
"1261","0x04ED","R9 Technology, Inc."
"1262","0x04EE","Auxivia"
"1263","0x04EF","DaisyWorks, Inc"
"1264","0x04F0","Kosi Limited"
"1265","0x04F1","Theben AG"
"1266","0x04F2","InDreamer Techsol Private Limited"
"1267","0x04F3","Cerevast Medical"
"1268","0x04F4","ZanCompute Inc."
"1269","0x04F5","Pirelli Tyre S.P.A."
"1270","0x04F6","McLear Limited"
"1271","0x04F7","Shenzhen Huiding Technology Co.,Ltd."
"1272","0x04F8","Convergence Systems Limited"
"1273","0x04F9","Interactio"
"1274","0x04FA","Androtec GmbH"
"1275","0x04FB","Benchmark Drives GmbH & Co. KG"
"1276","0x04FC","SwingLync L. L. C."
"1277","0x04FD","Tapkey GmbH"
"1278","0x04FE","Woosim Systems Inc."
"1279","0x04FF","Microsemi Corporation"
"1280","0x0500","Wiliot LTD."
"1281","0x0501","Polaris IND"
"1282","0x0502","Specifi-Kali LLC"
"1283","0x0503","Locoroll, Inc"
"1284","0x0504","PHYPLUS Inc"
"1285","0x0505","InPlay Inc."
"1286","0x0506","Hager"
"1287","0x0507","Yellowcog"
"1288","0x0508","Axes System sp. z o. o."
"1289","0x0509","myLIFTER Inc."
"1290","0x050A","Shake-on B.V."
"1291","0x050B","Vibrissa Inc."
"1292","0x050C","OSRAM GmbH"
"1293","0x050D","TRSystems GmbH"
"1294","0x050E","Yichip Microelectronics (Hangzhou) Co.,Ltd."
"1295","0x050F","Foundation Engineering LLC"
"1296","0x0510","UNI-ELECTRONICS, INC."
"1297","0x0511","Brookfield Equinox LLC"
"1298","0x0512","Soprod SA"
"1299","0x0513","9974091 Canada Inc."
"1300","0x0514","FIBRO GmbH"
"1301","0x0515","RB Controls Co., Ltd."
"1302","0x0516","Footmarks"
"1303","0x0517","Amtronic Sverige AB (formerly Amcore AB)"
"1304","0x0518","MAMORIO.inc"
"1305","0x0519","Tyto Life LLC"
"1306","0x051A","Leica Camera AG"
"1307","0x051B","Angee Technologies Ltd."
"1308","0x051C","EDPS"
"1309","0x051D","OFF Line Co., Ltd."
"1310","0x051E","Detect Blue Limited"
"1311","0x051F","Setec Pty Ltd"
"1312","0x0520","Target Corporation"
"1313","0x0521","IAI Corporation"
"1314","0x0522","NS Tech, Inc."
"1315","0x0523","MTG Co., Ltd."
"1316","0x0524","Hangzhou iMagic Technology Co., Ltd"
"1317","0x0525","HONGKONG NANO IC TECHNOLOGIES  CO., LIMITED"
"1318","0x0526","Honeywell International Inc."
"1319","0x0527","Albrecht JUNG"
"1320","0x0528","Lunera Lighting Inc."
"1321","0x0529","Lumen UAB"
"1322","0x052A","Keynes Controls Ltd"
"1323","0x052B","Novartis AG"
"1324","0x052C","Geosatis SA"
"1325","0x052D","EXFO, Inc."
"1326","0x052E","LEDVANCE GmbH"
"1327","0x052F","Center ID Corp."
"1328","0x0530","Adolene, Inc."
"1329","0x0531","D&M Holdings Inc."
"1330","0x0532","CRESCO Wireless, Inc."
"1331","0x0533","Nura Operations Pty Ltd"
"1332","0x0534","Frontiergadget, Inc."
"1333","0x0535","Smart Component Technologies Limited"
